Scenario,Instance,LP Bound,Heuristic,Naive,Time LP (s),Time Heur (s),Time Naive (s),Gap Heur (%),Gap Naive (%)
4,28,937912354.8095,,1050707149.5547,0.0600,,0.0001,,12.0262
4,29,872026970.2157,,962578109.9067,0.0598,,0.0001,,10.3840
4,30,1001199079.1088,,1097184679.7253,0.0602,,0.0001,,9.5871
5,1,964304114.5678,,1064734410.9556,0.0600,,0.0001,,10.4148
5,2,922098124.4641,,1022434693.8533,0.0597,,0.0001,,10.8813
5,3,1024009872.3334,,1123170279.3778,0.0592,,0.0001,,9.6835
5,4,894991587.7635,,989560052.9322,0.0594,,0.0001,,10.5664
5,5,943072726.8309,,1043693159.0233,0.0590,,0.0001,,10.6694
5,6,934106589.9275,,1042191694.0361,0.0596,,0.0001,,11.5710
5,7,877395834.9321,,965106230.3136,0.0593,,0.0001,,9.9967
5,8,989551385.7090,,1087121406.9468,0.0663,,0.0001,,9.8600
5,9,918810381.0740,,1021406357.0630,0.0596,,0.0001,,11.1662
5,10,992495125.4861,,1102273115.8675,0.0594,,0.0001,,11.0608
5,11,942828902.5024,,1041855340.6186,0.0592,,0.0001,,10.5031
5,12,965360732.4894,,1068369784.8439,0.0593,,0.0001,,10.6705
5,13,908963005.3796,,1000218596.6229,0.0591,,0.0001,,10.0395
5,14,1026716610.8598,,1125602209.0656,0.0611,,0.0001,,9.6312
5,15,903624555.2608,,998692342.5882,0.0596,,0.0001,,10.5207
5,16,905093958.1938,,998597446.1608,0.0594,,0.0001,,10.3308
5,17,880083831.8289,,976648216.2100,0.0593,,0.0001,,10.9722
5,18,1010821884.2699,,1110062927.3458,0.0595,,0.0001,,9.8179
5,19,1055607542.1703,,1156304603.2202,0.0591,,0.0001,,9.5393
5,20,946850920.9750,,1041379618.6640,0.0595,,0.0001,,9.9835
5,21,1019870531.2529,,1125856576.0792,0.0593,,0.0001,,10.3921
5,22,1016173585.9449,,1117435235.7539,0.0596,,0.0001,,9.9650
5,23,1011752865.4427,,1110804083.8825,0.0592,,0.0001,,9.7901
5,24,933501399.3690,,1038575873.7869,0.0595,,0.0001,,11.2560
5,25,952112124.3101,,1052585095.0268,0.0593,,0.0001,,10.5526
5,26,941748951.1560,,1038432639.3519,0.0597,,0.0001,,10.2664
5,27,867186483.3478,,947536443.8454,0.0592,,0.0001,,9.2656
5,28,956868472.8161,,1054190255.9331,0.0596,,0.0001,,10.1709
5,29,1025836478.6457,,1130131498.0739,0.0595,,0.0001,,10.1668
5,30,896584948.5563,,997213203.7861,0.0666,,0.0001,,11.2235
6,1,970067701.1331,,1072709005.3836,0.0597,,0.0001,,10.5808
6,2,990859825.4821,,1091320148.3386,0.0597,,0.0001,,10.1387
6,3,932574849.7275,,1032880367.4433,0.0592,,0.0001,,10.7558
6,4,1014705367.8699,,1123275711.9441,0.0609,,0.0001,,10.6997
6,5,900107119.1554,,993696016.6813,0.0625,,0.0001,,10.3975
6,6,971961377.8634,,1066725015.1685,0.0622,,0.0001,,9.7497
6,7,926976337.4910,,1037035141.7103,0.0606,,0.0001,,11.8729
6,8,959778892.7067,,1057422616.2735,0.0607,,0.0001,,10.1736
6,9,936845448.1990,,1031502609.1806,0.0617,,0.0001,,10.1038
6,10,846435824.5274,,944417549.0082,0.0599,,0.0001,,11.5758
6,11,1036320600.6915,,1142878820.6756,0.0597,,0.0001,,10.2824
6,12,969562332.2235,,1067033549.7974,0.0599,,0.0001,,10.0531
6,13,959931409.9302,,1066839433.6970,0.0594,,0.0001,,11.1370
6,14,1008044004.4579,,1118955757.0520,0.0599,,0.0001,,11.0027
6,15,1002213392.6997,,1109187790.8118,0.0598,,0.0001,,10.6738
6,16,987065931.3108,,1092896666.6219,0.0653,,0.0001,,10.7217
6,17,945628966.4056,,1047195633.7156,0.0624,,0.0001,,10.7406
6,18,980956581.0336,,1078573104.4280,0.0601,,0.0001,,9.9512
6,19,872503650.7642,,975270540.1251,0.0597,,0.0001,,11.7784
6,20,879812509.1576,,974268070.3081,0.0603,,0.0001,,10.7359
6,21,866117729.8687,,961540217.2805,0.0595,,0.0001,,11.0173
6,22,982705250.6202,,1098583854.9794,0.0670,,0.0001,,11.7918
6,23,989629127.5937,,1106273302.8620,0.0596,,0.0001,,11.7867
6,24,991266897.0090,,1091814493.9280,0.0599,,0.0001,,10.1433
6,25,979151779.8243,,1079192641.7202,0.0597,,0.0001,,10.2171
6,26,944644991.8143,,1046407747.8478,0.0597,,0.0001,,10.7726
6,27,969076553.5917,,1086538190.3313,0.0597,,0.0001,,12.1210
6,28,977126925.6813,,1073429592.6654,0.0600,,0.0001,,9.8557
6,29,954828275.8653,,1057575868.4105,0.0595,,0.0001,,10.7608
6,30,897626871.8560,,989136556.1411,0.0600,,0.0001,,10.1946
7,1,983468840.6871,,1069822321.9205,0.0595,,0.0001,,8.7805
7,2,930156645.2419,,1027540013.5174,0.0978,,0.0001,,10.4696
7,3,991901824.8038,,1090310146.2924,0.0610,,0.0001,,9.9212
7,4,859484127.0268,,950392560.9499,0.0618,,0.0001,,10.5771
7,5,958709743.0924,,1056030041.3058,0.0610,,0.0001,,10.1512
7,6,942256994.4510,,1024261601.2079,0.0611,,0.0001,,8.7030
7,7,927438505.1068,,1007315758.2411,0.0611,,0.0001,,8.6127
7,8,964028943.0104,,1060358131.2680,0.0610,,0.0001,,9.9924
7,9,973364533.7557,,1071911006.2593,0.0595,,0.0001,,10.1243
7,10,997265243.8522,,1100339801.9021,0.0600,,0.0001,,10.3357
7,11,841687859.7524,,926172673.3654,0.0593,,0.0001,,10.0375
7,12,853556270.3596,,937706195.5567,0.0599,,0.0001,,9.8587
7,13,921577005.4932,,1007664662.5517,0.0595,,0.0001,,9.3413
7,14,905876166.7834,,986465842.1004,0.0627,,0.0001,,8.8963
7,15,949988071.8642,,1053973422.4006,0.0679,,0.0001,,10.9460
7,16,937427242.9074,,1030661708.7693,0.0613,,0.0001,,9.9458
7,17,961353798.3067,,1054054272.0121,0.0622,,0.0001,,9.6427
7,18,981310980.6062,,1073409513.3548,0.0607,,0.0001,,9.3853
7,19,993962024.4933,,1095465640.6086,0.0599,,0.0001,,10.2120
7,20,921099861.7048,,1008150464.5859,0.0609,,0.0001,,9.4507
7,21,876890915.0172,,967388476.0143,0.0622,,0.0001,,10.3203
7,22,1011051825.4223,,1115535472.2099,0.0593,,0.0001,,10.3342
7,23,916467927.2647,,1007527668.3018,0.0610,,0.0001,,9.9359
7,24,1043392297.5220,,1136668281.0835,0.0593,,0.0001,,8.9397
7,25,984990183.1712,,1080629496.8429,0.0629,,0.0001,,9.7097
7,26,1012858708.9071,,1115384527.6506,0.0627,,0.0001,,10.1224
7,27,966471779.8252,,1057664862.6726,0.0625,,0.0001,,9.4357
7,28,993293087.4768,,1084068084.2661,0.0623,,0.0001,,9.1388
7,29,1005302706.2733,,1109309026.0763,0.0623,,0.0001,,10.3458
7,30,964676968.5081,,1056979770.4733,0.0620,,0.0001,,9.5683
