Scenario,Instance,LP Bound,Naive,Heuristic,Time LP (s),Time Naive (s),Time Heur (s),Gap Naive (%),Gap Heur (%)
6,6,971961377.8634,1066725015.1685,981890503.9903,0.0595,0.0001,0.0010,9.7497,1.0216
6,7,926976337.4910,1037035141.7103,936404088.2565,0.0595,0.0001,0.0010,11.8729,1.0170
6,8,959778892.7067,1057422616.2735,969580466.9026,0.0600,0.0001,0.0010,10.1736,1.0212
6,9,936845448.1990,1031502609.1806,946424953.5933,0.0592,0.0001,0.0010,10.1038,1.0225
6,10,846435824.5274,944417549.0082,855115615.5683,0.0717,0.0001,0.0010,11.5758,1.0255
6,11,1036320600.6915,1142878820.6756,1046894906.6535,0.0602,0.0001,0.0011,10.2824,1.0204
6,12,969562332.2235,1067033549.7974,979442360.8035,0.0605,0.0001,0.0010,10.0531,1.0190
6,13,959931409.9302,1066839433.6970,969705571.0764,0.0604,0.0001,0.0010,11.1370,1.0182
6,14,1008044004.4579,1118955757.0520,1018278559.8828,0.0605,0.0001,0.0010,11.0027,1.0153
6,15,1002213392.6997,1109187790.8118,1012412313.2466,0.0595,0.0001,0.0010,10.6738,1.0176
6,16,987065931.3108,1092896666.6219,997110859.7020,0.0598,0.0001,0.0010,10.7217,1.0177
6,17,945628966.4056,1047195633.7156,955273310.8836,0.0594,0.0001,0.0010,10.7406,1.0199
6,18,980956581.0336,1078573104.4280,990931538.6248,0.0597,0.0001,0.0010,9.9512,1.0169
6,19,872503650.7642,975270540.1251,881419438.7231,0.0593,0.0001,0.0010,11.7784,1.0219
6,20,879812509.1576,974268070.3081,888764498.7521,0.0597,0.0001,0.0010,10.7359,1.0175
6,21,866117729.8687,961540217.2805,874989080.4097,0.0593,0.0001,0.0010,11.0173,1.0243
6,22,982705250.6202,1098583854.9794,992662203.9683,0.0662,0.0001,0.0010,11.7918,1.0132
6,23,989629127.5937,1106273302.8620,999652923.8229,0.0596,0.0001,0.0010,11.7867,1.0129
6,24,991266897.0090,1091814493.9280,1001399044.6467,0.0615,0.0001,0.0010,10.1433,1.0221
6,25,979151779.8243,1079192641.7202,989090545.1620,0.0607,0.0001,0.0010,10.2171,1.0150
6,26,944644991.8143,1046407747.8478,954287263.6118,0.0609,0.0001,0.0010,10.7726,1.0207
6,27,969076553.5917,1086538190.3313,978924631.3260,0.0604,0.0001,0.0010,12.1210,1.0162
6,28,977126925.6813,1073429592.6654,987074858.2643,0.0607,0.0001,0.0010,9.8557,1.0181
6,29,954828275.8653,1057575868.4105,964545021.9544,0.0598,0.0001,0.0010,10.7608,1.0176
6,30,897626871.8560,989136556.1411,906792127.1924,0.0599,0.0001,0.0010,10.1946,1.0211
7,1,983468840.6871,1069822321.9205,1022772277.0924,0.0594,0.0001,0.0010,8.7805,3.9964
7,2,930156645.2419,1027540013.5174,967266030.1820,0.0598,0.0001,0.0010,10.4696,3.9896
7,3,991901824.8038,1090310146.2924,1031461217.9095,0.0593,0.0001,0.0010,9.9212,3.9882
7,4,859484127.0268,950392560.9499,893770877.8413,0.0599,0.0001,0.0010,10.5771,3.9892
7,5,958709743.0924,1056030041.3058,996920518.7334,0.0594,0.0001,0.0010,10.1512,3.9856
7,6,942256994.4510,1024261601.2079,979876448.5831,0.0609,0.0001,0.0010,8.7030,3.9925
7,7,927438505.1068,1007315758.2411,964529942.4462,0.0594,0.0001,0.0010,8.6127,3.9993
7,8,964028943.0104,1060358131.2680,1002463215.0524,0.0600,0.0001,0.0010,9.9924,3.9868
7,9,973364533.7557,1071911006.2593,1012130688.3736,0.0596,0.0001,0.0010,10.1243,3.9827
7,10,997265243.8522,1100339801.9021,1036989059.3601,0.0598,0.0001,0.0010,10.3357,3.9833
7,11,841687859.7524,926172673.3654,875241021.6395,0.0630,0.0001,0.0010,10.0375,3.9864
7,12,853556270.3596,937706195.5567,887659461.9483,0.0599,0.0001,0.0010,9.8587,3.9954
7,13,921577005.4932,1007664662.5517,958378437.2185,0.0591,0.0001,0.0010,9.3413,3.9933
7,14,905876166.7834,986465842.1004,942116677.3675,0.0664,0.0001,0.0010,8.8963,4.0006
7,15,949988071.8642,1053973422.4006,987794521.4518,0.0591,0.0001,0.0010,10.9460,3.9797
7,16,937427242.9074,1030661708.7693,974839973.4452,0.0596,0.0001,0.0010,9.9458,3.9910
7,17,961353798.3067,1054054272.0121,999744292.1639,0.0596,0.0001,0.0010,9.6427,3.9934
7,18,981310980.6062,1073409513.3548,1020464303.5571,0.0601,0.0001,0.0010,9.3853,3.9899
7,19,993962024.4933,1095465640.6086,1033547821.9314,0.0598,0.0001,0.0010,10.2120,3.9826
7,20,921099861.7048,1008150464.5859,957871954.2197,0.0598,0.0001,0.0010,9.4507,3.9922
7,21,876890915.0172,967388476.0143,911845358.4165,0.0596,0.0001,0.0010,10.3203,3.9862
7,22,1011051825.4223,1115535472.2099,1051367264.0542,0.0602,0.0001,0.0010,10.3342,3.9875
7,23,916467927.2647,1007527668.3018,953039898.1506,0.0601,0.0001,0.0010,9.9359,3.9905
7,24,1043392297.5220,1136668281.0835,1085039251.2290,0.0606,0.0001,0.0010,8.9397,3.9915
7,25,984990183.1712,1080629496.8429,1024222081.1594,0.0612,0.0001,0.0010,9.7097,3.9830
7,26,1012858708.9071,1115384527.6506,1053219304.5035,0.0617,0.0001,0.0010,10.1224,3.9848
7,27,966471779.8252,1057664862.6726,1005019678.1697,0.0629,0.0001,0.0011,9.4357,3.9885
7,28,993293087.4768,1084068084.2661,1032949064.7983,0.0627,0.0001,0.0011,9.1388,3.9924
7,29,1005302706.2733,1109309026.0763,1045334105.3759,0.0614,0.0001,0.0010,10.3458,3.9820
7,30,964676968.5081,1056979770.4733,1003163669.3890,0.0604,0.0001,0.0010,9.5683,3.9896
