Scenario ID,Instance ID,LP Relaxation,Naive Heuristic,Time LP,Time Naive,Gap Naive (%)
2,22,6343187.5582,27963209.5493,0.0025,0.0000,340.8384
2,23,12214428.0433,34821351.0969,0.0023,0.0000,185.0838
2,24,12478870.1291,30875829.7628,0.0026,0.0000,147.4249
2,25,16358189.0606,36207056.2672,0.0023,0.0000,121.3390
2,26,7559249.8460,29962464.2072,0.0023,0.0000,296.3682
2,27,13203034.6408,35124961.5553,0.0024,0.0000,166.0370
2,28,8128102.7788,33555934.0933,0.0023,0.0000,312.8385
2,29,10510964.4076,29157565.1172,0.0024,0.0000,177.4014
2,3,7053497.6302,29237061.0542,0.0024,0.0000,314.5044
2,30,9449898.7754,31000871.7755,0.0025,0.0000,228.0551
2,4,9874213.2122,25235682.8103,0.0023,0.0000,155.5716
2,5,9324362.6759,25671098.7318,0.0030,0.0000,175.3121
2,6,12520305.6777,30804681.9375,0.0024,0.0000,146.0378
2,7,10838620.8159,38537545.8192,0.0025,0.0000,255.5577
2,8,16202104.3269,29464971.4758,0.0024,0.0000,81.8589
2,9,3839508.6912,23549403.5340,0.0024,0.0000,513.3442
3,1,9296738.6652,33010344.3209,0.0024,0.0000,255.0745
3,10,13041561.4800,37161419.7855,0.0024,0.0000,184.9461
3,11,12212022.0351,36651679.7961,0.0023,0.0000,200.1279
3,12,10292380.8057,26296672.7387,0.0026,0.0000,155.4965
3,13,7365926.5914,34480377.8076,0.0023,0.0000,368.1065
3,14,10639017.8338,32939100.0188,0.0024,0.0000,209.6066
3,15,8759995.6857,34580577.2551,0.0023,0.0000,294.7556
3,16,11182275.4701,31467864.5083,0.0025,0.0000,181.4084
3,17,19770898.8014,40671277.7834,0.0024,0.0000,105.7128
3,18,15619632.8100,37929441.5593,0.0024,0.0000,142.8318
3,19,12280138.1031,32714788.9905,0.0024,0.0000,166.4041
3,2,7601039.7956,27431092.3482,0.0023,0.0000,260.8861
3,20,12281025.6248,34832996.9706,0.0024,0.0000,183.6326
3,21,8203016.9548,35513945.9717,0.0023,0.0000,332.9376
3,22,9226746.6554,33159110.2530,0.0023,0.0000,259.3803
3,23,4370651.3940,21514916.2266,0.0024,0.0000,392.2588
3,24,12094697.2341,27862490.6905,0.0024,0.0000,130.3695
3,25,9663793.6872,34677666.3122,0.0025,0.0000,258.8411
3,26,7670300.4046,29601112.9776,0.0024,0.0000,285.9186
3,27,9963913.6819,28953202.0404,0.0024,0.0000,190.5806
3,28,11937037.9647,36776890.0217,0.0025,0.0000,208.0906
3,29,7223895.6638,28178080.1463,0.0024,0.0000,290.0677
3,3,11157011.7963,27644126.4873,0.0024,0.0000,147.7736
3,30,17963785.5902,41395084.9559,0.0025,0.0000,130.4363
3,4,11469116.6564,35750765.1421,0.0024,0.0000,211.7133
3,5,13776281.2668,36331142.2888,0.0024,0.0000,163.7224
3,6,20887490.0442,39603626.5993,0.0025,0.0000,89.6045
3,7,8810355.3880,34834984.5976,0.0023,0.0000,295.3868
3,8,8878494.5901,24429654.4039,0.0023,0.0000,175.1554
3,9,10051018.0325,32448531.7621,0.0025,0.0000,222.8383
4,1,5603427.4416,19859451.7244,0.0025,0.0000,254.4161
4,10,7524470.2053,31344504.7637,0.0025,0.0000,316.5676
4,11,11796903.1740,28582198.8191,0.0025,0.0000,142.2856
4,12,9286714.6828,26741089.1146,0.0023,0.0000,187.9499
4,13,12407711.4549,30598095.8079,0.0024,0.0000,146.6055
4,14,9908974.4780,29164985.1433,0.0023,0.0000,194.3290
4,15,9597924.5835,26798120.9531,0.0023,0.0000,179.2075
4,16,18691701.5995,33759873.1084,0.0024,0.0000,80.6142
4,17,10990809.9650,28624005.6971,0.0024,0.0000,160.4358
4,18,5907518.0493,34666294.7335,0.0023,0.0000,486.8166
4,19,18273013.4549,40284860.1489,0.0023,0.0000,120.4610
4,2,13081792.5457,35999922.6033,0.0024,0.0000,175.1911
4,20,7702707.7705,32925855.9312,0.0023,0.0000,327.4582
4,21,6661487.9752,25394037.4448,0.0026,0.0000,281.2067
4,22,11013149.2405,28017127.0273,0.0023,0.0000,154.3971
4,23,5213076.9830,34136626.1971,0.0023,0.0000,554.8268
4,24,13427337.0503,33706274.4620,0.0024,0.0000,151.0272
4,25,15293188.3379,38308692.2481,0.0024,0.0000,150.4951
4,26,7271074.2980,33914194.0028,0.0023,0.0000,366.4262
4,27,6640489.7876,30239861.0087,0.0028,0.0000,355.3860
